quantity,value
mean_BC_replicates,0.4232
mean_BC_diff_site_same_season,0.5368
mean_BC_same_site_diff_season,0.877
mean_BC_diff_site_diff_season,0.8772
site_effect_above_baseline,0.1136
season_effect_above_baseline,0.4539
season_over_site_ratio,3.99
leave_one_out_ratio_min,3.69
leave_one_out_ratio_max,4.26
leave_one_out_season_gt_site_count,44/44
leave_one_SEASON_out_season_gt_site,4/4
leave_one_SITE_out_season_gt_site,5/5
permanova_season_R2,0.5906
permanova_season_pseudoF,19.23
permanova_season_p,0.001
permanova_site_R2,0.076
permanova_site_pseudoF,0.8
permanova_site_p,0.675
presence_absence_jaccard_season_over_site_ratio,3.62
mean_BC_control_to_river,0.9244
mean_BC_river_to_river,0.7815
bray_curtis_vs_jaccard_pearson_r,0.9945
richness_vs_depth_pearson_r,0.5571
richness_vs_evenness_pearson_r,-0.0107
